"tipoaccidente","total_accidentes","accidentes_fatales","proporcion"
"colision con ferrocarril",6340,514,0.08107255520504731861
"volcadura",239172,17047,0.07127506564313548409
"colision con peaton (atropellamiento)",487137,30311,0.06222274226757565120
"salida del camino",223069,9204,0.04126077581376166119
"colision con ciclista",154457,5583,0.03614598237697223175
"colision con animal",37802,1024,0.02708851383524681234
"caida de pasajero",63249,1560,0.02466442157188255941
"incendio",8859,172,0.01941528389208714302
"colision con motocicleta",627800,9227,0.01469735584581076776
"colision con objeto fijo",1112642,12178,0.01094511981392038050
"otro",140603,1478,0.01051186674537527649
"colision con vehiculo automotor",6762205,30028,0.00444056339611117971
