"hora","total_accidentes","accidentes_fatales","proporcion"
99,35094,2897,0.08254972359947569385
6,210824,4298,0.02038667324403293743
5,148994,3018,0.02025584922882800650
4,161813,2985,0.01844721993906546446
3,189770,3420,0.01802181588238393845
2,215704,3884,0.01800615658494974595
1,235058,3998,0.01700856809808642973
0,367321,6002,0.01633993155850060301
22,382983,5909,0.01542888326635908121
21,431429,6620,0.01534435561818978326
20,503699,7179,0.01425255956434299056
23,385394,5180,0.01344079046378511342
7,361733,4712,0.01302618229467590737
19,554061,7009,0.01265023165319342094
18,568316,6588,0.01159214239965089844
17,544629,5619,0.01031711495348209515
8,510457,4558,0.00892925359041016187
10,464349,4107,0.00884464056130195176
16,552992,4891,0.00884461258029049245
11,466048,3997,0.00857636981598461961
12,510075,4351,0.00853011811988433074
14,567436,4609,0.00812250192092147837
13,529668,4220,0.00796725495971061118
15,567620,4504,0.00793488601529192065
9,478127,3771,0.00788702583204880712
