idEntidad,anio,hora,dia,causa,clasificacion,tipoAccidente,alientoAlcoholico
14,2018,6,sabado,conductor,solo danios,colision con objeto fijo,no
11,2010,13,sabado,conductor,solo danios,colision con vehiculo automotor,se ignora
02,2017,19,sabado,conductor,solo danios,colision con objeto fijo,no
21,2013,19,miercoles,conductor,solo danios,colision con vehiculo automotor,no
31,2000,9,lunes,conductor,solo danios,colision con vehiculo automotor,no
14,2022,8,lunes,conductor,solo danios,colision con vehiculo automotor,no
28,2018,18,domingo,conductor,solo danios,colision con vehiculo automotor,si
19,2016,18,sabado,conductor,solo danios,colision con objeto fijo,no
15,2000,17,sabado,conductor,no fatal,colision con vehiculo automotor,no
28,2005,16,jueves,conductor,solo danios,colision con vehiculo automotor,no
